hex_id,jam_count_prediction,hour,jam_count_3_weeks_ago,jam_count_2_weeks_ago,jam_count_1_weeks_ago,jam_count_0_weeks_ago
1,7.545044516554853e-5,17,0,0,0,0
2,3.428020527407658e-5,17,0,0,0,0
3,4.807692307692308e-6,17,0,0,0,0
4,4.4669647292598115e-4,17,0,0,0,0
5,7.293228060289574e-5,17,0,0,0,0
6,5.038278383668401e-4,17,0,0,0,0
7,4.616841257050766e-4,17,0,0,0,0
8,0,17,0,0,0,0
9,0,17,0,0,0,0
10,0.0017033901472676982,17,0,0,0,0
11,9.004575414052474e-4,17,0,0,0,0
12,0,17,0,0,0,0
13,9.41699832914903e-5,17,0,0,0,0
14,0.015001904975462233,17,0,0,0,0
15,0.003154854275236441,17,0,0,0,0
16,0,17,0,0,0,0
17,0.004129468934397779,17,0,0,0,0
18,0.005873049645390071,17,0,0,0,0
19,0.03420521015919087,17,1,0,0,0
20,9.943139715551872e-6,17,0,0,0,0
21,0,17,0,0,0,0
22,3.0192651858090326e-4,17,0,0,0,0
23,0.0022333333333333333,17,0,0,0,0
24,0.11056666666666669,17,1,0,0,0
25,0.023488874383090837,17,1,0,0,0
26,0.007419356380329084,17,0,0,0,0
27,0.01097468804598245,17,0,0,0,0
28,1.2225773068310372e-4,17,0,0,0,0
29,6.158176114285169e-6,17,0,0,0,0
30,4.025979952238261e-6,17,0,0,0,0
31,1.865288984346278e-5,17,0,0,0,0
32,0,17,0,0,0,0
33,0.07462222222222223,17,0,0,0,0
34,0.0381401198350894,17,0,0,0,0
35,4.851587844115629e-4,17,0,0,0,0
36,4.025979952238261e-6,17,0,0,0,0
37,4.025979952238261e-6,17,0,0,0,0
38,6.006006006006006e-6,17,0,0,0,0
39,6.289308176100629e-6,17,0,0,0,0
40,0,17,0,0,0,0
41,0.001,17,0,0,0,0
42,4.025979952238261e-6,17,0,0,0,0
43,0,17,0,0,0,0
44,2.0140054096532436e-4,17,0,0,0,0
45,0.002402646669607411,17,0,0,0,0
46,4.025979952238261e-6,17,0,0,0,0
47,4.025979952238261e-6,17,0,0,0,0
48,0,17,0,0,0,0
49,0.030292811262260175,17,0,0,0,0
50,2.1906080105670573e-4,17,0,0,0,0
51,9.815018258020799e-5,17,0,0,0,0
52,0.011910022870751765,17,0,0,0,0
53,1.1694001987802466e-4,17,0,0,0,0
54,2.646669607410675e-6,17,0,0,0,0
55,0.018259524442908653,17,0,0,0,0
56,0.007186859067951503,17,0,0,0,0
57,1.6929655097470557e-4,17,0,0,0,0
58,0.020815664843610884,17,0,0,0,0
59,2.646669607410675e-6,17,0,0,0,0
60,0.004017150278669266,17,0,0,0,0
61,0.007948815138183562,17,0,0,0,0
62,2.638265853908054e-4,17,0,0,0,0
63,0.010264668294367642,17,0,0,0,0
64,0.0010088610662930659,17,0,0,0,0
65,5.280679187425573e-4,17,0,0,0,0
66,0.0026618353527960406,17,0,0,0,0
67,4.5433025436853857e-4,17,0,0,0,0
68,0.01697348897642113,17,0,0,0,0
